Time(s)	Relative Blade_disp(m)	Tower_disp(m)
290.09	0.45	0.402
290.691	0.429	0.421
291.291	0.357	0.254
291.892	0.476	0.039
292.492	0.381	0.007
293.093	0.414	0.158
293.694	0.467	0.364
294.294	0.463	0.457
294.895	0.722	0.369
295.495	0.594	0.267
296.096	0.391	0.2
296.697	0.515	0.155
297.297	0.23	0.189
297.898	0.317	0.181
298.498	0.415	0.161
299.099	0.368	0.186
299.7	0.397	0.219
300.3	0.483	0.245
300.901	0.376	0.268
301.502	0.358	0.228
302.102	0.49	0.158
302.703	0.425	0.167
303.303	0.436	0.231
303.904	0.508	0.293
304.505	0.412	0.317
305.105	0.476	0.261
305.706	0.513	0.19
306.306	0.44	0.188
306.907	0.42	0.226
307.508	0.617	0.272
308.108	0.258	0.334
308.709	0.377	0.241
309.309	0.49	0.108
309.91	0.171	0.085
310.511	0.351	0.096
311.111	0.18	0.166
311.712	0.176	0.18
312.312	0.388	0.127
312.913	0.158	0.115
313.514	0.234	0.089
314.114	0.373	0.099
314.715	0.299	0.185
315.315	0.357	0.253
315.916	0.308	0.255
316.517	0.304	0.172
317.117	0.384	0.083
317.718	0.145	0.083
318.318	0.378	0.103
318.919	0.458	0.201
319.52	0.247	0.316
320.12	0.393	0.281
320.721	0.221	0.155
321.321	0.276	0.009
321.922	0.202	-0.024
322.523	0.287	0.073
323.123	0.245	0.233
323.724	0.299	0.302
324.324	0.374	0.238
324.925	0.242	0.121
325.526	0.315	0.022
326.126	0.289	0.047
326.727	0.219	0.166
327.327	0.356	0.249
327.928	0.344	0.266
328.529	0.201	0.196
329.129	0.301	0.057
329.73	0.177	-0.002
330.33	0.276	0.039
330.931	0.313	0.17
331.532	0.298	0.294
332.132	0.291	0.289
332.733	0.51	0.173
333.333	0.395	0.126
333.934	0.457	0.163
334.535	0.629	0.276
335.135	0.491	0.419
335.736	0.56	0.425
336.336	0.54	0.303
336.937	0.507	0.161
337.538	0.532	0.122
338.138	0.469	0.218
338.739	0.663	0.352
339.339	0.711	0.477
339.94	0.476	0.487
340.541	0.672	0.305
341.141	0.458	0.142
341.742	0.267	0.069
342.342	0.51	0.086
342.943	0.388	0.245
343.544	0.506	0.377
344.144	0.719	0.412
344.745	0.462	0.389
345.345	0.585	0.251
345.946	0.421	0.148
346.547	0.369	0.119
347.147	0.616	0.177
347.748	0.276	0.33
348.348	0.613	0.352
348.949	0.473	0.319
349.55	0.225	0.214
350.15	0.415	0.042
350.751	0.421	0.022
351.351	0.407	0.182
351.952	0.57	0.376
352.553	0.576	0.489
353.153	0.498	0.427
353.754	0.627	0.228
354.354	0.327	0.1
354.955	0.403	0.058
355.556	0.521	0.153
356.156	0.247	0.335
356.757	0.47	0.356
357.357	0.43	0.259
357.958	0.172	0.116
358.559	0.559	-0.008
359.159	0.273	0.104
359.76	0.43	0.278
360.36	0.497	0.396
360.961	0.363	0.379
361.562	0.6	0.21
362.162	0.348	0.107
362.763	0.306	0.083
363.363	0.477	0.14
363.964	0.315	0.275
364.565	0.548	0.332
365.165	0.527	0.333
365.766	0.395	0.272
366.366	0.593	0.173
366.967	0.307	0.171
367.568	0.386	0.183
368.168	0.318	0.2
368.769	0.261	0.187
369.369	0.407	0.14
369.97	0.086	0.136
370.571	0.246	0.076
371.171	0.264	0.055
371.772	0.133	0.102
372.372	0.371	0.14
372.973	0.175	0.201
373.574	0.36	0.183
374.174	0.396	0.16
374.775	0.26	0.172
375.375	0.38	0.164
375.976	0.35	0.177
376.577	0.53	0.207
377.177	0.555	0.293
377.778	0.422	0.365
378.378	0.562	0.317
378.979	0.49	0.237
379.58	0.514	0.183
380.18	0.593	0.21
380.781	0.492	0.32
381.381	0.568	0.382
381.982	0.561	0.36
382.583	0.626	0.282
383.183	0.616	0.24
383.784	0.705	0.281
384.384	0.619	0.389
384.985	0.592	0.435
385.586	0.763	0.386
386.186	0.484	0.322
386.787	0.571	0.211
387.387	0.591	0.18
387.988	0.32	0.248
388.589	0.469	0.262
389.189	0.55	0.258
389.79	0.387	0.265
390.39	0.665	0.24
390.991	0.514	0.289
391.592	0.358	0.319
392.192	0.614	0.253
392.793	0.375	0.224
393.393	0.389	0.183
393.994	0.556	0.166
394.595	0.493	0.254
395.195	0.586	0.352
395.796	0.653	0.403
396.396	0.659	0.395
396.997	0.494	0.329
397.598	0.646	0.219
398.198	0.714	0.213
398.799	0.583	0.345
399.399	0.674	0.45
400.0	0.694	0.462
400.601	0.461	0.368
401.201	0.535	0.173
401.802	0.61	0.078
402.402	0.448	0.192
403.003	0.541	0.359
403.604	0.486	0.446
404.204	0.348	0.349
404.805	0.463	0.112
405.405	0.412	-0.011
406.006	0.252	0.066
406.607	0.56	0.229
407.207	0.458	0.427
407.808	0.334	0.445
408.408	0.709	0.245
409.009	0.469	0.126
409.61	0.363	0.127
410.21	0.517	0.198
410.811	0.577	0.33
411.411	0.442	0.423
412.012	0.592	0.357
412.613	0.509	0.234
413.213	0.484	0.147
413.814	0.459	0.157
414.414	0.462	0.244
415.015	0.527	0.33
415.616	0.499	0.361
416.216	0.415	0.293
416.817	0.555	0.171
417.417	0.477	0.148
418.018	0.393	0.215
418.619	0.682	0.293
419.219	0.735	0.414
419.82	0.719	0.499
420.42	0.935	0.485
421.021	0.71	0.45
421.622	0.639	0.353
422.222	0.805	0.253
422.823	0.711	0.293
423.423	0.829	0.418
424.024	0.76	0.544
424.625	0.691	0.534
425.225	0.505	0.355
425.826	0.5	0.103
426.426	0.48	-0.002
427.027	0.256	0.111
427.628	0.488	0.268
428.228	0.534	0.4
428.829	0.406	0.407
429.429	0.513	0.247
430.03	0.515	0.106
430.631	0.372	0.106
431.231	0.386	0.195
431.832	0.397	0.29
432.432	0.388	0.309
433.033	0.418	0.231
433.634	0.465	0.142
434.234	0.403	0.137
434.835	0.441	0.209
435.435	0.505	0.3
436.036	0.584	0.357
436.637	0.525	0.358
437.237	0.493	0.284
437.838	0.682	0.201
438.438	0.577	0.246
439.039	0.567	0.345
439.64	0.699	0.407
440.24	0.548	0.416
440.841	0.55	0.313
441.441	0.531	0.184
442.042	0.548	0.145
442.643	0.449	0.231
443.243	0.484	0.324
443.844	0.75	0.367
444.444	0.437	0.4
445.045	0.619	0.302
445.646	0.76	0.221
446.246	0.64	0.293
446.847	0.534	0.402
447.447	0.57	0.401
448.048	0.766	0.314
448.649	0.672	0.293
449.249	0.646	0.33
449.85	0.769	0.38
450.45	0.758	0.443
451.051	0.774	0.463
451.652	0.7	0.42
452.252	0.711	0.332
452.853	0.632	0.276
453.453	0.753	0.282
454.054	0.746	0.383
454.655	0.726	0.49
455.255	0.792	0.499
455.856	0.705	0.417
456.456	0.695	0.295
457.057	0.543	0.23
457.658	0.417	0.213
458.258	0.53	0.213
458.859	0.523	0.265
459.459	0.428	0.317
460.06	0.478	0.294
460.661	0.352	0.219
461.261	0.372	0.121
461.862	0.509	0.096
462.462	0.556	0.224
463.063	0.421	0.399
463.664	0.561	0.427
464.264	0.429	0.316
464.865	0.461	0.131
465.465	0.63	0.056
466.066	0.445	0.213
466.667	0.391	0.395
467.267	0.58	0.415
467.868	0.414	0.311
468.468	0.413	0.131
469.069	0.457	0.034
469.67	0.367	0.118
470.27	0.557	0.284
470.871	0.525	0.442
471.471	0.486	0.448
472.072	0.435	0.275
472.673	0.414	0.059
473.273	0.472	-0.007
473.874	0.477	0.157
474.474	0.503	0.406
475.075	0.671	0.53
475.676	0.664	0.478
476.276	0.493	0.294
476.877	0.569	0.095
477.477	0.261	0.057
478.078	0.434	0.118
478.679	0.577	0.276
479.279	0.506	0.447
479.88	0.616	0.461
480.48	0.504	0.333
481.081	0.556	0.152
481.682	0.472	0.092
482.282	0.389	0.175
482.883	0.572	0.301
483.483	0.473	0.407
484.084	0.66	0.385
484.685	0.53	0.307
485.285	0.547	0.215
485.886	0.643	0.191
486.486	0.697	0.3
487.087	0.616	0.459
487.688	0.636	0.496
488.288	0.58	0.377
488.889	0.389	0.187
489.489	0.368	0.025
490.09	0.347	0.017
490.691	0.272	0.156
491.291	0.374	0.287
491.892	0.363	0.328
492.492	0.33	0.242
493.093	0.46	0.101
493.694	0.35	0.075
494.294	0.292	0.151
494.895	0.457	0.241
495.495	0.421	0.319
496.096	0.385	0.304
496.697	0.433	0.2
497.297	0.248	0.11
497.898	0.285	0.049
498.498	0.32	0.078
499.099	0.338	0.192
499.7	0.303	0.286
500.3	0.315	0.266
500.901	0.334	0.152
501.502	0.266	0.054
502.102	0.301	0.044
502.703	0.258	0.134
503.303	0.29	0.23
503.904	0.33	0.251
504.505	0.401	0.2
505.105	0.483	0.16
505.706	0.335	0.19
506.306	0.44	0.222
506.907	0.453	0.251
507.508	0.568	0.276
508.108	0.403	0.303
508.709	0.507	0.255
509.309	0.467	0.211
509.91	0.233	0.182
510.511	0.654	0.136
511.111	0.352	0.236
511.712	0.353	0.304
512.312	0.571	0.273
512.913	0.293	0.242
513.514	0.285	0.142
514.114	0.355	0.052
514.715	0.302	0.079
515.315	0.407	0.188
515.916	0.437	0.315
516.517	0.322	0.355
517.117	0.292	0.227
517.718	0.342	0.036
518.318	0.16	-0.037
518.919	0.41	0.028
519.52	0.311	0.245
520.12	0.251	0.386
520.721	0.54	0.308
521.321	0.396	0.184
521.922	0.243	0.08
522.523	0.419	0.039
523.123	0.208	0.138
523.724	0.345	0.231
524.324	0.392	0.268
524.925	0.298	0.241
